,case_number,year,type,country,activity,age,species_,injury,mes,deceso,genero
1461,1935.03.02,1935,Unprovoked,australia,Standing,22,"White shark, 3.5 m to 4 m [11.5' to 13'] ","FATAL, thigh bitten ",Mar,Y,M
1462,1934.12.31.b,1934,Unprovoked,australia,Splashing,13,"Tiger shark, 1.5 m [5'] ",Hands severed,Dec,N,F
1463,1934.04.01.a,1934,Unprovoked,australia,Swimming in waist-deep water ,15,4.3 m [14'] shark seen in vicinity,"FATAL, right leg lacerated",Apr,Y,M
1464,1934.03.12,1934,Unprovoked,australia,Swimming in hip-deep water,17,4 m [13'] shark seen in vicinity,"FATAL, leg & buttocks removed ",Mar,Y,M
1465,1934.01.07,1934,Unprovoked,australia,Swimming on sandbar adjacent to channel,22,4.3 m [14'] shark seen in area previous week,Severely lacerated  right leg.  Later surgically amputated & survived despite gas gangrene,Jan,N,M
1466,1932.10.31,1932,Unprovoked,australia,Swimming,24,Thought to involve a mako or grey nurse shark,"Torso bitten with pneumothorax, slight lacerations on left hand",Oct,N,M
1467,1932.00.00,1932,Unprovoked,south africa,Collecting fish by lamplight in gully,23,"Raggedtooth shark, 1.2 m to 1.5 m [4' to 5'] ","Right shin, calf and sole of foot lacerated",,N,M
1468,1931.02.10,1931,Invalid,australia,Swimming ,39,Shark involvement prior to death unconfirmed,Death may have been due to drowning,Feb,,M
1469,1931.01.07,1931,Unprovoked,australia,Swimming,18,1.5 m [5'] shark,Severe bump & few superficial wounds ,Jan,N,M
1470,1930.02.15,1930,Unprovoked,australia,Diving off pier & treading water,18,White shark 4.9 m [16'] ,FATAL,Feb,Y,M
1471,1930.01.16,1930,Unprovoked,south africa,Swimming,23,"White shark, 4.5 m [14'9""], identity confirmed by witness & tooth pattern",Torso & arm bitten,Jan,N,M
1472,1929.04.11,1929,Provoked,australia,Standing in knee-deep water,19,"Grey nurse shark, 4' ",Right calf severely bitten by shark caught in the net PROVOKED INCIDENT,Apr,N,M
1473,1929.02.08,1929,Unprovoked,australia,Swimming,39,Galapagos shark,"FATAL, right thigh bitten, femoral artery severed",Feb,Y,M
1474,1929.01.12,1929,Unprovoked,australia,Body surfing,14,12' shark,"FATAL, right thigh & hip bitten",Jan,Y,M
1475,1928.11.04,1928,Unprovoked,panama,Swimming,17,Morenos leg  & part of his swim suit found in 9' shark caught two hours after the attack. Identified as carcharhinid shark by L. Schultz & C. Limbaugh on photograph,"FATAL, multiple injuries including evisceration, 3 fractures of right arm, 5 fingers  & leg severed below knee",Nov,Y,M
1476,1928.04.06,1928,Unprovoked,australia,Bathing,15,4' shark,Lacerations to right leg ,Apr,N,M
1477,1928.01.00,1928,Unprovoked,south africa,Body surfing,18,1.2 m [4'] shark,Foot bitten,Jan,N,M
1478,1927.12.28,1927,Unprovoked,south africa,Swimming,17,"White shark, 4.4 m [14.5'] . ","FATAL, leg bitten  ",Dec,Y,M
1479,1927.03.01,1927,Unprovoked,australia,Body surfing / treading water,17,Grey nurse shark?,"Right buttock & thigh bitten, thumb removed",Mar,N,M
1480,1927.01.03,1927,Unprovoked,australia,Swimming,15,3.7 m [12'] shark,"FATAL, leg bitten from thigh to ankle",Jan,Y,M
1481,1926.10.23.b,1926,Unprovoked,australia,Bathing,17,"Grey nurse shark, 4'","3"" laceration to leg",Oct,N,M
