,case_number,year,type,country,activity,age,species_,injury,mes,deceso,genero
42,2017.04.14,2017,Unprovoked,usa,Surfing,28,"Tiger shark, 12'",Lower right leg severely injured,Apr,N,M
43,2017.04.02.a,2017,Unprovoked,usa,Swimming,17,"Bull shark, 5' to 7'",Lacerations to thighs,Apr,N,F
44,2017.01.21,2017,Unprovoked,australia,Scuba Diving,55,"Bull shark, 4 m","Multiple injuries to arm, wrist and torso",Jan,N,M
45,2017.01.09,2017,Unprovoked,indonesia,Surfing,48,"Bull shark, 1 m",Injury to right wrist & forearm,Jan,N,M
46,2017.01.03,2017,Invalid,australia,Wading,20,Shark involvement not confirmed,Minor injuries to foot & toes,Jan,,M
47,2016.12.19,2016,Unprovoked,south africa,Surf skiing ,55,"White shark, 4 m","No injury, but ski severely damaged",Dec,N,M
48,2016.12.11.a,2016,Invalid,usa,Surfing,19,Shark involvement not confirmed,Cuts to right ankle & foot,Dec,,M
49,2016.12.06,2016,Provoked,australia,Surf fishing,20,"Wobbegong shark, 2m",Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,Dec,N,M
50,2016.12.01,2016,Unprovoked,australia,Surfing,65,White shark,Injuries to foot & arm,Dec,N,M
51,2016.11.28,2016,Provoked,australia,Fishing,73,"Broadnose sevengill shark, 1.5 m",Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,Nov,N,M
52,2016.11.14,2016,Unprovoked,usa,Floating,58,Tiger shark,Injuries to right calf and thigh,Nov,N,F
53,2016.10.21,2016,Unprovoked,usa,Surfing,36, 6' to 8' shark,Left arm and leg injured,Oct,N,M
54,2016.09.26,2016,Unprovoked,australia,Surfing,17,"White shark, 3.5 m",4 deep lacerations to thigh,Sep,N,M
55,2016.09.11,2016,Unprovoked,usa,Wading,60s,3' to 4' shark,Minor injury to arm,Sep,N,M
56,2016.09.07,2016,Unprovoked,usa,Swimming,51,"Tiger shark, 10'",Severe lacerations to shoulder & forearm,Sep,N,F
57,2016.08.29.b,2016,Unprovoked,usa,Surfing,25,"Bull shark, 6'",Lacerations to right foot,Aug,N,M
58,2016.08.06,2016,Unprovoked,usa,SUP Foil boarding,21,"Tiger shark, 10' ","No inury, shark & board collided",Aug,N,M
59,2016.07.29,2016,Unprovoked,spain,Swimming,40,Blue shark,Lacerations to right hand,Jul,N,M
60,2016.07.20,2016,Provoked,australia,Fishing,31,"reef shark, 1m",Laceration to left calf from hooked shark PROVOKED INCIDENT,Jul,N,M
61,2016.07.15.b,2016,Unprovoked,usa,Kite surfing,61,"White shark, 10' to 12'","No injury, board damaged",Jul,N,M
62,2016.07.07.b,2016,Provoked,usa,Fishing,59,dogfish shark,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,Jul,N,M
63,2016.07.04,2016,Provoked,australia,Fishing,34,Tawny nurse shark,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,Jul,N,M
64,2016.06.21.b,2016,Unprovoked,usa,Floating,42,3' to 5' shark,Lacerations and punctures to foot,Jun,N,M
65,2016.06.14,2016,Unprovoked,usa,Floating in tube,6,3' to 4' shark,Injury to lower leg,Jun,N,F
66,2016.06.11,2016,Unprovoked,usa,Standing,19,3' shark,Laceration to wrist,Jun,N,M
67,2016.06.07,2016,Invalid,usa,Surfing,27,Said to involve an 8' shark but more likely damage caused by debris,"No injury, board damaged",Jun,,M
68,2016.06.05.a,2016,Unprovoked,australia,Diving,60,3+ m shark,FATAL,Jun,Y,F
69,2016.06.04,2016,Unprovoked,egypt,Swimming,23,Mako shark,"Leg severely bitten, surgically amputated",Jun,N,M
70,2016.05.31,2016,Unprovoked,australia,Surfing,29,White shark,FATAL,May,Y,M
71,2016.05.29.a,2016,Unprovoked,usa,Swimming,13,5' shark,Injury to posterior right leg,May,N,M
72,2016.05.21.b,2016,Unprovoked,usa,Swimming,22,"Bull shark, 4' to 5'",Lacerations and puncture wounds to foot and ankle,May,N,F
73,2016.05.18,2016,Unprovoked,usa,Swimming,48,"Blacktip shark, 4'",Ankle bitten,May,N,M
74,2016.05.15,2016,Provoked,usa,Teasing a shark,23,"Nurse shark, 2'",Arm grabbed PROVOKED INCIDENT,May,N,F
75,2016.05.02,2016,Provoked,new zealand,Fishing,39,"Mako shark, 1.5 m [5'] ",Foot bitten by landed shark PROVOKED INCIDENT,May,N,M
76,2016.04.25,2016,Unprovoked,indonesia,Surfing,24,"Bull shark, 6'",Elbow bitten,Apr,N,M
77,2016.04.19,2016,Unprovoked,australia,Swimming,12,Wobbegong shark,Minor puncture wound to foot,Apr,N,M
78,2016.04.18.b,2016,Provoked,french polynesia,Spearfishing,22,"Grey reef shark, 2 m",Laceration to knee by speared shark PROVOKED INCIDENT,Apr,,M
79,2016.04.18.a,2016,Provoked,french polynesia,Spearfishing,26,"Grey reef shark, 2 m","Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",Apr,N,M
80,2016.04.09,2016,Unprovoked,new caledonia,Walking,69,"Tiger shark, 2.5 m",FATAL,Apr,Y,F
81,2016.01.23,2016,Unprovoked,usa,Paddle boarding,48,"Tiger shark, 14'",No injury,Jan,N,M
82,2016.01.05,2016,Unprovoked,australia,Wading,11,Blacktip shark,Laceration to right calf,Jan,N,M
83,2016.01.02,2016,Unprovoked,australia,Spearfishing,31,3 m shark,Lacerations to arms & leg,Jan,N,M
84,2015.12.22,2015,Unprovoked,usa,Paddle boarding,71,9' shark,"No injury, shark bit board",Dec,N,M
85,2015.12.21.b,2015,Unprovoked,australia,Surfing,43,"Bronze whaler shark, 6'","No injury, shark leapt on surfboard",Dec,N,M
86,2015.11.20,2015,Unprovoked,ecuador,Snorkeling,55,Galapagos shark,Lacerations to left calf,Nov,N,M
87,2015.11.10,2015,Unprovoked,australia,Surfing,20,"Bull shark, 2.8 to 3.1 m",Injury to left thigh,Nov,N,M
88,2015.12.23,2015,Invalid,usa,Surfing,9,Shark involvement not confirmed,Lower left leg injured,Nov,,F
89,2015.11.01.b,2015,Unprovoked,usa,Wading,28,3' to 5' shark,Injury to right ankle/calf & hand,Nov,N,F
90,2015.10.25,2015,Unprovoked,south africa,Surfing,42,"White shark, 3 to 3.5m ","Lacerations to right calf, knee & hip",Oct,N,M
91,2015.10.21,2015,Unprovoked,usa,Surfing,21,5' shark,Lacerations to left hand,Oct,N,M
92,2015.10.19,2015,Unprovoked,usa,Surfing,21,"Spinner shark, 5'",Left foot bitten,Oct,N,M
93,2015.10.17.b,2015,Invalid,usa,Surfing,32,No shark involvement,Left foot bitten by eel,Oct,,M
94,2015.10.17.a,2015,Unprovoked,usa,Swimming,44,"Tiger shark, 7'",Severe injuries to lower legs. Foot later surgically amputated.,Oct,N,M
95,2015.10.09.a,2015,Unprovoked,usa,Surfing,25,"Tiger shark, 13' ","Left leg severed below the knee, defense injuries to left hand",Oct,N,M
96,2015.10.05.a,2015,Unprovoked,usa,Wading,13,4' to 5' shark,Foot & hands bitten,Oct,N,M
97,2015.10.04,2015,Unprovoked,usa,Surfing,14,"Blacktip shark, 4' to 5'",Severe lacerations to left hand,Oct,N,M
98,2015.09.29,2015,Unprovoked,usa,Surfing,22,"Blacktip shark, 5' to 6'","Laceration to heel, puncture wounds to dorsum of foot",Sep,N,M
99,2015.09.20.d,2015,Unprovoked,usa,Surfing,14,juvenile shark,Minor injury to left ankle,Sep,N,M
100,2015.09.20.c,2015,Unprovoked,usa,Spearfishing,27,"Tiger shark, 13'",Severe laceration to left leg,Sep,N,M
101,2015.09.20.b,2015,Unprovoked,usa,Wading,12,4' shark,Significant injuries to leg,Sep,N,M
102,2015.09.08,2015,Unprovoked,australia,Surfing,42,6' shark,Minor laceration to hand,Sep,N,M
103,2015.09.06,2015,Unprovoked,usa,Stand-Up Paddleboarding,50,"White shark, 11' to 12'","No injury, shark struck board, tossing her into the sea",Sep,N,F
104,2015.09.05,2015,Provoked,usa,Kayak Fishing,29,Hammerhead shark.,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,Sep,N,M
105,2015.09.04,2015,Unprovoked,australia,Surf-skiing,62,"White shark, 2.5 m",Inuries to lower left leg & ankle,Sep,N,M
106,2015.09.01,2015,Unprovoked,thailand,Wading,37,small shark,Left foot & ankle bitten,Sep,N,F
107,2015.08.29.b,2015,Unprovoked,usa,Surfing,54,"White shark, 11' to 12'","No injury, surfboard bitten",Aug,N,F
108,2015.08.29.a,2015,Unprovoked,usa,Surfing,21,"White shark, 10' to 12' ","No injury, shark struk sufer's leg and his board",Aug,N,M
109,2015.08.20,2015,Unprovoked,usa,Surfing,15,4' shark,"Injuries to left calf, arm and hand",Aug,N,M
110,2015.08.19,2015,Unprovoked,usa,Walking,10,3' shark,Lacerations to right leg,Aug,N,F
111,2015.08.18.b,2015,Boating,usa,Kayak Fishing,22,"White shark, 13'","No injury, kayak bitten",Aug,N,M
112,2015.08.18.a,2015,Invalid,spain,Swimming,10,Shark involvement not confirmed,Minor injury when he attempted to touch a fish. ,Aug,,M
113,2015.08.10,2015,Provoked,usa,Spearfishing,57,Hammerhead shark. 6' to 7',Right hand bitten  PROVOKED INCIDENT,Aug,N,M
114,2015.07.31,2015,Unprovoked,australia,Surfing,52,White shark,"Lacerations and puncture wounds to hip, thigh, arm and hand",Jul,N,M
115,2015.07.26.b,2015,Unprovoked,usa,Surfing,25,"Blacktip or spinner shark, 4'",Minor injury to sole of foot,Jul,N,M
116,2015.07.26.a,2015,Invalid,usa,Floating,35,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed","2' cut to dorsum of foot, 2 puncture wounds to sole",Jul,,F
117,2015.07.25,2015,Unprovoked,australia,Scallop diving on hookah,46,"White shark, 3.9 to 4.2 m",FATAL,Jul,Y,M
118,2015.07-10,2015,Unprovoked,usa,Surfing,38,"White shark, 7'","No injury, shark bumped & damaged board",Jul,N,M
119,2015.07.03,2015,Unprovoked,australia,Surfing,52,White shark,"No injury, shark bit surfboard",Jul,N,M
120,2015.07.02,2015,Unprovoked,australia,Body boarding ,32,White shark,Significant injuries to lower legs,Jul,N,M
121,2015.07.01,2015,Unprovoked,usa,Swimming,68,6' to 7' shark,"Injuries to torso, hip, lower leg & hands",Jul,N,M
122,2015.06.30.a,2015,Unprovoked,usa,Playing in the water,12,4' to 5' shark,Shallow lacerations & puncture to lateral left leg,Jun,N,M
123,2015.06.27.b,2015,Unprovoked,usa,Swimming,18,Bull shark,"Injuries to right calf, buttock and both hands",Jun,N,M
124,2015.06.27.a,2015,Unprovoked,south africa,Body Boarding,19,White shark,"Right leg severed, multiple lacerations to left leg",Jun,N,M
125,2015.06.26.b,2015,Unprovoked,south africa,Surfing,23,"White shark, 2m to 3 m",Multiple lacerations to torso & leg,Jun,N,M
126,2015.06.26.a,2015,Unprovoked,usa,Standing,43,4' shark,Puncture wounds to foot,Jun,N,M
127,2015.06.24.b,2015,Unprovoked,usa,Swimming,6,Sandtiger shark,Minor injury to foot,Jun,N,M
128,2015.06.24.a,2015,Invalid,australia,Surfing,37,White shark,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",Jun,N,F
129,2015.06.14.b,2015,Unprovoked,usa,Wading,16,Bull shark,Arm amputated below shoulder,Jun,N,M
130,2015.06.14.a,2015,Unprovoked,usa,Wading,12,Bull shark,Left arm amputated at elbow & severe injury to leg,Jun,N,F
131,2015.06.11,2015,Unprovoked,usa,Boogie boarding,13,4' shark,Minor lacerations to foot,Jun,N,F
132,2015.06.07,2015,Unprovoked,usa,Playing,11,"Bull shark, 5'",Lacerations to right calf,Jun,N,M
133,2015.06.01,2015,Unprovoked,reunion,Surfing,47,"Bull shark, 2.5 m",Left forearm bitten,Jun,N,M
134,2015.05.25,2015,Unprovoked,french polynesia,Spearfishing,19,1m to 1.2 m shark,Lacerations to right forearm,May,N,M
135,2015.05.20,2015,Unprovoked,usa,Surfing,18,5' shark,2 puncture wounds to  dorsum of left foot,,N,M
136,2015.05.02,2015,Unprovoked,south africa,Diving,29,"White shark, 3.5 m","Injuries to leg, left arm & both hands",May,N,M
137,2015.04.26,2015,Unprovoked,usa,Wading,63,3- to 4-foot shark,Lacerations to left calf,Apr,N,M
138,2015.04.25,2015,Unprovoked,australia,Surfing,26,"White shark, 6 m",Leg severed at mid-thigh,Apr,N,M
139,2015.04.24.c,2015,Unprovoked,australia,Surf skiing ,71,"White shark, 3 m","No injury, knocked off ski",Jun,N,M
140,2015.04.12,2015,Unprovoked,reunion,Surfing,13,Bull shark,FATAL,Apr,Y,M
141,2015.04.03,2015,Unprovoked,usa,Spearfishing,70,Bull shark,Injuries to head & torso,Apr,N,M
142,2015.03.31,2015,Invalid,brazil,Surfing,23,No shark involvement,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,Mar,,M
143,2015.03.18,2015,Unprovoked,usa,Standing / Snorkeling,58,"Tiger shark, 8 to 12 feet",Lacerations to left forearm. Lacerations to left hand and thigh,Mar,N,M
144,2015.03.16,2015,Unprovoked,french polynesia,Hand feeding sharks,9,Blacktip shark,Hand bitten,Mar,N,M
145,2015.02.14,2015,Unprovoked,reunion,Swimming,22,"Tiger shark, 3.5 m",FATAL,Feb,Y,F
146,2015.02.09,2015,Unprovoked,australia,Surfing,41,3.5 to 4 m shark,FATAL,Feb,Y,M
147,2015.02.08,2015,Unprovoked,australia,Surfing,35,2 m to  3 m shark,Laceration & puncture wounds to right flank & hip,Feb,N,M
148,2015.01.30,2015,Boating,australia,Rowing,57,"Bull shark, 1.3 m","No injury, shark's teeth scratched hull",Jan,N,M
149,2015.01.27,2015,Provoked,usa,Shark fishing,20,4' shark,Lacerations to calf by hooked shark PROVOKED INCIDENT,Jan,N,M
150,2015.01.06,2015,Unprovoked,bahamas,Snorkeling,34,White shark or oceanic whitetip shark,Severe bite to right flank,Jan,N,F
151,2015.01.03,2015,Unprovoked,south africa,Surfing,15,"Raggedtooth shark, 1.3 m","Lacerations to lower left leg, puncture wounds to sole of left foot",Jan,N,M
152,2014.12.29.a,2014,Unprovoked,australia,Spearfishing,17,"White shark, 4 to 5 m",FATAL,Dec,Y,M
153,2014.12.28.b,2014,Unprovoked,usa,Surfing,50,"White shark, 8' to 10'",Injury to hip/leg,Dec,N,M
154,2014.12.28.a,2014,Provoked,australia,Fishing,40s,1.5 m shark,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,Dec,N,M
155,2014.12.15,2014,Unprovoked,australia,Spearfishing,17,Tiger shark,FATAL,Dec,Y,M
156,2014.11.16,2014,Unprovoked,usa,Surfing,44,2' shark,Laceration to left hand,Nov,N,M
157,2014.11.13,2014,Unprovoked,usa,Snorkeling,53,1.5 m shark,Laceration to left upper leg,Nov,N,M
158,2014.10.31,2014,Unprovoked,usa,Surfing,34,"Tiger shark, 12'",Lacerations to fingers,Oct,N,F
159,2014.10.17,2014,Unprovoked,australia,Surfing,13,1 m shark,"Lacerations to left calf & ankle, puncture wounds to left foot",Oct,N,F
160,2014.10.05.b,2014,Unprovoked,usa,Surfing,29,Blacktip shark,Foot bitten,Oct,N,M
161,2014.10.05.a,2014,Unprovoked,usa,Surfing,15,Blacktip shark,Foot bitten,Oct,N,M
162,2014.10.02.b,2014,Unprovoked,usa,Surfing,28,8' to 10' shark,Lacerations to knee,Oct,N,M
163,2014.10.02.a,2014,Unprovoked,australia,Surfing,23,"2 white shark: 13' & 9""8""","Left arm & right hand severed, lacerations to both legs",Oct,N,M
164,2014.09.09,2014,Unprovoked,australia,Swimming,50,7' shark,FATAL,Sep,Y,M
165,2014.09.06,2014,Unprovoked,usa,Fishing ,43,Bull shark,Leg bitten,Sep,N,M
166,2014.09.03,2014,Boating,usa,Kayaking ,20s,"White shark, 12' to 14'","No injury, shark bit kayak",Sep,N,F
167,2014.09.02,2014,Provoked,usa,Fishing,52,3' to 4' shark,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,Sep,N,M
168,2014.08.31,2014,Unprovoked,usa,Body surfing,13,Spinner shark,Injury to left calf,Aug,N,F
169,2014.08.08,2014,Unprovoked,usa,Swimming,7," Bull shark, 5'",Minor lacerations to left heel and big toe,Aug,N,M
170,2014.08.06,2014,Unprovoked,usa,Boogie boarding,10,4' tp 5' shark,Lacerations to right leg & foot,Aug,N,M
171,2014.08.01,2014,Unprovoked,south africa,Surfing,20,White shark,Lower limbs & thigh bitten,Aug,N,M
172,2014.07.16,2014,Unprovoked,usa,Swimming,61,6' to 8' shark,Lacerations to left foot,Jul,N,M
173,2014.07.14,2014,Unprovoked,usa,Swimming,39,4' shark,Puncture wounds to foot,Jul,N,M
174,2014.07.13,2014,Invalid,bahamas,Shark diving,63,Shark involvement not confirmed,"Missing after a dive, shark involvement considered probable, but not confirmed",Jul,,M
175,2014.07.03,2014,Unprovoked,usa,Body surfing,19,4' to 5' shark,Right hand bitten,Jul,N,M
176,2014.06.09.b,2014,Unprovoked,usa,Standing,16," Sandbar shark, 3' to 4'","Abrasion to right hand, lacerations to left forearm",Jun,N,M
177,2014.06.09.a,2014,Unprovoked,australia,Body boarding,39,"Bronze whaler shark, 1.5m",Minor injury to torso,Jun,N,M
178,2014.06.01.c,2014,Unprovoked,usa,Swimming,22,Bull shark,Laceration to right lower leg,Jun,N,F
179,2014.05.14,2014,Unprovoked,australia,Surfing,35," white shark, 15' ","No injury, but surfboard severely damaged",May,N,M
180,2014.05.06,2014,Unprovoked,usa,Swimming,40,4' to 5' shark,Lacerations to left foot,May,N,F
181,2014.05.01,2014,Unprovoked,usa,Surfing,23,3' shark,Laceration to right hand and cuts on fingertips,May,N,M
182,2014.04.03,2014,Unprovoked,australia,Swimming,63,3 m to 4 m white shark,FATAL,Apr,Y,F
183,2014.03.29,2014,Invalid,australia,Diving for lobsters,38,Shark involvement prior to death not confirmed,Shark bites may have been post mortem,Mar,,M
184,2014.03.22.b,2014,Unprovoked,south africa,Swimming,66,2 m shark,FATAL,Mar,Y,M
185,2014.02.20,2014,Unprovoked,french polynesia,Kitesurfing,21,Blacktip reef shark ,Lacerations to lower leg,Feb,N,M
186,2014.02.07,2014,Unprovoked,new zealand,Surfing,28,7-gill shark?,Lacerations to leg,Feb,N,M
187,2013.12.25,2013,Unprovoked,new caledonia,Snorkeling,37,Reported to involve a bull shark,Leg bitten,Dec,N,M
188,2013.12.16,2013,Unprovoked,south africa,Surfing,19,"White shark, 3m ",Injuries to left thigh,Dec,N,M
189,2013.12.11,2013,Unprovoked,usa,Boogie boarding,29,"Tiger shark, 10' to 12'",Lacerations to right hand & knee,Dec,N,M
190,2013.12.10,2013,Unprovoked,usa,Surfing,30,4' to 6' shark,Right foot bitten,Dec,N,M
191,2013.12.05,2013,Unprovoked,australia,Surfing,26," Wobbegong shark, 1.6 to 1.8m ","Puncture wounds to hand, laceration to leg",Dec,N,M
192,2013.11.30,2013,Unprovoked,australia,Body boarding,19,"Tiger shark, 3m ",FATAL,Nov,Y,M
193,2013.11.23.a,2013,Unprovoked,australia,Surfing,35,Thought to involve a white shark,FATAL,Nov,Y,M
194,2013.11.22,2013,Unprovoked,usa,Surfing,25,"White shark, 10 '","No injury, board bitten",Nov,N,M
195,2013.10.31,2013,Unprovoked,usa,Kiteboarding,46,Tiger shark,Severe bite to right calf & anklel,Oct,N,M
196,2013.10.28,2013,Unprovoked,australia,Snorkeling,60,"Blacktip reef shark, 1m",Lacerations to right arm,Oct,N,F
197,2013.10.26.b,2013,Unprovoked,reunion,Body boarding,24,Thought to involve a bull shark,Right leg severed,Oct,N,M
198,2013.10.24,2013,Unprovoked,australia,Surfing,41,Wobbegong shark,Injuries to right foot,Oct,N,M
199,2013.10.23,2013,Unprovoked,usa,Diving ,45,"Whitetip reef shark, 4' to 6'","3"" laceration to left hip",Oct,N,M
200,2013.10.20,2013,Unprovoked,usa,Surfing,25,Tiger shark,"No injury, shark bit surfboard",Oct,N,M
201,2013.10.19,2013,Unprovoked,usa,Wading,6,Nurse shark?,Bitten on left calf & foot,Oct,N,M
202,2013.10.11,2013,Unprovoked,south africa,Swimming / snorkeling,74,White shark,FATAL,Oct,Y,M
203,2013.10.08,2013,Unprovoked,australia,Diving for Abalone,55,White shark,"Injuries to torso, head and face",Oct,N,M
204,2013.10.05,2013,Unprovoked,usa,Surfing,45,"White shark, 8' to 10'",Laceration to thigh,Oct,N,M
205,2013.09.14,2013,Unprovoked,usa,Swimming,21,Bull shark,Lacerations to right foot,Sep,N,M
206,2013.09.12,2013,Unprovoked,usa,Surfing,13,3' shark,Heel bitten,Sep,N,F
207,2013.09.07.b,2013,Provoked,usa,Surfing,43,3' shark,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,Sep,N,M
208,2013.09.07.a,2013,Unprovoked,usa,Standing,25,3' shark,"Minor injury, shin bitten",Sep,N,M
209,2013.09.01.a,2013,Unprovoked,usa,Casting a net,9,4' shark,Lacerations to left calf,Sep,N,M
210,2013.08.14,2013,Unprovoked,usa,Snorkeling,20,Tiger shark?,FATAL,Aug,Y,F
211,2013.08.11,2013,Unprovoked,usa,Surfing,10,"Bull shark, 8'","No injury, shark became entangled in his surfboard leash",Aug,N,M
212,2013.08.05,2013,Unprovoked,usa,Fishing,17,"Bull shark, 6' to 8'",Minor injury to foot & shin,Aug,N,M
213,2013.07.29.c,2013,Unprovoked,bahamas,Spearfishing,40,6' shark,Leg bitten,Jul,N,M
214,2013.07.29.a,2013,Unprovoked,usa,Surfing,18,"Tiger shark, 8' to 10' ",Lower leg bitten,Jul,N,M
215,2013.07.28.b,2013,Unprovoked,bahamas,Cleaning fish,64,Nurse shark,Bitten on left hand,Jul,N,M
216,2013.06.25.a,2013,Unprovoked,usa,Swimming,14,4' to 5' shark,"Bitten on lower right leg, reported as a minor injury",Jun,N,M
217,2013.06.18,2013,Unprovoked,usa,Swimming,28,"Tiger shark, 14'",Right thigh & calf bitten,Jun,N,M
218,2013.06.14.R,2013,Unprovoked,usa,Boogie Boarding,10,4' to 5' shark,Puncture marks to hand,Jun,N,F
219,2013.05.14,2013,Unprovoked,ecuador,Surfing,29,Galapagos shark,Superficial injury to left calf,May,N,M
220,2013.05.08.a,2013,Unprovoked,reunion,Body boarding,36,Bull shark,FATAL,May,Y,M
221,2013.05.04.a,2013,Unprovoked,usa,Surfing,16,a small shark,Lacerations to left foot and ankle,May,N,M
222,2013.04.24,2013,Unprovoked,mexico,Swimming,34,Tiger shark,Avulsion injury  to lower right leg,Apr,N,F
223,2013.04.21,2013,Unprovoked,australia,Fishing,51,"Grey nurse shark, 3m",Puncture wounds and lacerations to both legs,Apr,N,M
224,2013.04.17,2013,Unprovoked,usa,Playing in the surf,9,3' shark,Lacerations to right foot,Apr,N,M
225,2013.04.13.b,2013,Unprovoked,usa,Surfing,21,Bull shark,Minor lacerations to right hand,Apr,N,M
226,2013.04.10,2013,Unprovoked,french polynesia,Kite boarding,53,Possibly a blacktip reef shark,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",Apr,N,M
227,2013.04.02.a,2013,Unprovoked,usa,Surfing,58,4' shark,Right thigh bitten,Apr,N,M
228,2013.03.16.b,2013,Provoked,south africa,Fishing - 'tag & release',30,"Raggedtooth shark, 1.5 m",Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,Mar,N,M
229,2013.03.12,2013,Unprovoked,jamaica,Spearfishing,68,"Tiger shark, 4.8 m",FATAL,Mar,Y,M
230,2013.03.10.b,2013,Unprovoked,australia,Spearfishing,28,"Bronze whaler shark, 2.5m",Laceration to left hand,Mar,N,M
231,2013.02.27,2013,Unprovoked,new zealand,Swimming,46,"White shark, 4m",FATAL,Feb,Y,M
232,2013.02.10,2013,Unprovoked,usa,Surfing,16,"Blacktip shark, 4' to 5'",Lacerations to right hand,Feb,N,M
233,2013.02.09,2013,Unprovoked,french polynesia,Scuba diving,48,Lemon shark,Lacerations to right arm & thigh,Feb,N,M
234,2013.01.16,2013,Unprovoked,usa,Surfing,43,"Tiger shark, 15'",Left forearm bitten ,Jan,N,M
235,2012.12.30,2012,Unprovoked,australia,Surfing,23,2.5 m shark,"No injury, chunk missing from surfboard",Dec,N,M
236,2012.12.28,2012,Unprovoked,australia,Paddle boarding,29,"Bull shark, 2m ",Lacerations to thigh and hand,Dec,N,M
237,2012.12.19,2012,Unprovoked,australia,Surfing,32,"Tiger shark, 6'",No injury,Dec,N,M
238,2012.12.05,2012,Unprovoked,usa,Surfing,60,10' shark,Lacerations to left foot,Dec,N,M
239,2012.12.02,2012,Unprovoked,australia,Spearfishing,31,Sandtiger shark,Minor puncture wounds to knee,Dec,N,M
240,2012.11.30,2012,Unprovoked,usa,Snorkeling,61,"Tiger shark, 10'",Lacerations to thigh & lower left leg,Nov,N,M
241,2012.11.22,2012,Unprovoked,mexico,Swimming,32,2.5 m shark,FATAL,Nov,Y,M
242,2012.11.19,2012,Unprovoked,usa,Surfing,14,2' to 3' shark,Minor lacerations to left foot & heel,Nov,N,M
243,2012.11.04.b,2012,Unprovoked,usa,Diving,30,"Tiger shark, 15'",Right lower leg and foot bitten,Nov,N,M
244,2012.11.04.a,2012,Unprovoked,usa,Surfing,43,"Tiger shark, 8'","No injury, surfboard bitten",Nov,N,M
245,2012.10.30,2012,Unprovoked,usa,Surfing,25,White shark,Multiple lacerations to torso,Oct,N,M
246,2012.10.27,2012,Unprovoked,usa,Swimming,51,"Tiger shark, 10' to 12' ","Puncture wounds to thigh, defense wounds  to hand",Oct,N,F
247,2012.10.23,2012,Unprovoked,usa,Surfing,39,"White shark, 15' to 16' ",FATAL,Oct,Y,M
248,2012.10.18.a,2012,Unprovoked,usa,Paddle boarding,55,6' to 8' shark,"No injury, board bitten",Oct,N,M
249,2012.10.02,2012,Unprovoked,australia,Bodyboarding,11,2m shark,"No injury, but swim fin bitten & torn",Oct,N,M
250,2012.09.25,2012,Unprovoked,usa,Surfing,21,5' shark,Lacerations to left forearm,Sep,N,M
251,2012.09.24,2012,Unprovoked,usa,Surfing,22,4' shark,Left foot bitten,Sep,N,M
252,2012.09.02.b,2012,Unprovoked,usa,Boogie boarding,8,3.5' to 4' shark,Puncture wounds to calf and hand,Sep,N,F
253,2012.09.02.a,2012,Unprovoked,usa,Swimming or boogie boarding,56,3.5' to 4' shark,Puncture wound to left ankle,Sep,N,F
254,2012.08.09,2012,Unprovoked,usa,Free diving ,56,"Lemon shark, 4' to 5' ",Lacerations to little finger of left hand,Aug,N,M
255,2012.07.31.a,2012,Unprovoked,australia,Surfing,48,White shark or bronze whaler,Lacerations to torso & arm,Jul,N,M
256,2012.07.30.a,2012,Unprovoked,usa,Body surfing,50,Thought to involve a white shark,Lacerations to both legs below the knees,Jul,N,M
257,2012.07.14,2012,Unprovoked,australia,Surfing,24,"White shark, 5m",FATAL,Jul,Y,M
258,2012.07.07.a,2012,Boating,usa,Kayaking,52,14' to 18'shark,"No injury, kayak bitten",Jul,N,M
259,2012.07.06,2012,Unprovoked,south africa,Surfing,29,15' shark,Lacerattions to left thigh & knee,Jul,N,M
260,2012.06.26.c,2012,Unprovoked,usa,Swimming,6,possibly a bull shark,Thigh bitten,Jun,N,M
261,2012.06.26.a,2012,Unprovoked,usa,Sitting in the water,16,a small reef shark,Laceration to left calf,Jun,N,F
262,2012.06.20,2012,Unprovoked,australia,Surf skiing ,62,3 m shark,"No injury, ski severely damaged",Jun,N,M
263,2012.06.15,2012,Provoked,usa,Fishing,23,Nurse shark,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,Jun,N,M
264,2012.06.14.d,2012,Unprovoked,usa,Swimming,18,small blacktip shark?,Foot & hand bitten,Jun,N,F
265,2012.06.14.a,2012,Unprovoked,usa,Swimming,16,Blacktip shark ,Laceration to right foot,Jun,N,M
