,case_number,year,type,country,activity,injury,mes,deceso,genero,especies,edad
517,2006.07.08.b,2006,Unprovoked,usa,Body boarding,Foot bitten,Jul,N,F,Bull,14
518,2006.06.20,2006,Unprovoked,usa,Surfing,2-inch puncture wounds on right foot,Jun,N,F,Unspecified,22
519,2006.06.15,2006,Unprovoked,usa,Surfing,Four 1-inch puncture wounds on left foot ,Jun,N,M,Unspecified,24
520,2006.06.07,2006,Unprovoked,usa,Playing,Lacerations & puncture wounds to left foot & buttocks,Jun,N,F,Unspecified,7
521,2006.06.05,2006,Unprovoked,australia,Surfing,"No injury, knocked off surfboard",Jun,N,M,White,40
522,2006.05.31,2006,Unprovoked,usa,Spearfishing,"4"" laceration to left forearm",May,N,M,Tiger,26
523,2006.05.24,2006,Provoked,usa,Spearfishing,Knee bitten after diver poked shark PROVOKED INCIDENT,May,N,M,Grey,15
524,2006.05.19,2006,Unprovoked,usa,Scuba diving,Laceration to leg,May,N,F,Tiger,30
525,2006.05.02,2006,Provoked,australia,Snorkeling,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,May,N,M,Unspecified,46
526,2006.04.13,2006,Provoked,usa,Fishing,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,Apr,N,M,Bull,35
527,2006.04.11,2006,Unprovoked,australia,Surfing,Minor laceration to left foot,Apr,N,M,Unspecified,15
528,2006.04.09.b,2006,Unprovoked,south africa,Body boarding,Leg bitten,Apr,N,M,Unspecified,15
529,2006.04.09.a,2006,Unprovoked,brazil,Swimming,Left leg bitten,Apr,N,M,Tiger,35
530,2006.03.23,2006,Unprovoked,usa,Surfing,5 puncture wounds in left calf,Mar,N,F,Tiger,28
531,2006.03.19,2006,Unprovoked,fiji,Surfing,Lacerations to right hand,Mar,N,M,Tiger,21
532,2006.03.15,2006,Unprovoked,australia,Surfing,"No injury, shark nudged surfboard",Mar,N,M,Unspecified,15
533,2006.02.27,2006,Unprovoked,usa,Standing,Deep laceration to right calf,Feb,N,F,Unspecified,15
534,2006.02.23,2006,Invalid,usa,Free diving,Forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s,Feb,,M,Unspecified,45
535,2006.02.08,2006,Unprovoked,south africa,Surfing,2 bite marks on right calf,Feb,N,M,Unspecified,15
536,2006.02.01.b,2006,Unprovoked,tonga,Swimming,Severe bite to right leg FATAL,Feb,Y,F,Tiger,24
537,2006.02.01.a,2006,Boating,usa,Kayaking,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,Feb,N,M,Unspecified,57
538,2006.01.15,2006,Unprovoked,australia,Scuba diving,Lacerations to left elbow,Jan,N,M,White,52
539,2006.01.07,2006,Unprovoked,australia,Swimming,FATAL,Jan,Y,F,Bull,21
540,2006.01.04,2006,Unprovoked,usa,Surfing,3 puncture wounds in right wrist & hand,Jan,N,M,Unspecified,21
541,2005.12.24,2005,Unprovoked,usa,Surfing,Lacerations to ankle & calf,Dec,N,M,White,30
542,2005.12.21,2005,Unprovoked,usa,Swimming,Left hand bitten,Dec,N,M,Tiger,29
543,2005.12.11,2005,Unprovoked,australia,Spearfishing,Right forearm & elbow bitten,Dec,N,M,White,44
544,2005.11.27,2005,Unprovoked,usa,Surfing,Right thumb & palm lacerated,Nov,N,M,Unspecified,23
545,2005.11.25.b,2005,Unprovoked,australia,Surfing,"2 lacerations on leg, each 4"" to 5"" long",Nov,N,M,Unspecified,18
546,2005.11.21,2005,Unprovoked,usa,Surfing,Left foot bitten,Nov,N,M,Unspecified,30
547,2005.11.15,2005,Provoked,south africa,Fishing for sharks,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,Nov,N,M,Unspecified,32
